0.01,0.57,2.3439
0.58,0.04,-0.2239
0.95,0.93,3.4511
0.94,1,3.5476
0.81,0.23,0.052672
0.51,0.8,3.2028
0.9,0.79,2.5521
0.22,0.37,2.4705
0.44,0.39,2.0305
0.55,0.64,2.2271
0.7,0,-0.93052
0.29,0.29,2.1778
0.46,0.53,2.4793
0.07,0.44,2.2371
0.16,0.2,1.697
0.05,1,4.364
0.03,0.15,0.83017
0.24,0.25,1.9755
0.7,0.65,1.5833
0.46,0.69,2.9912
0.13,0.05,0.93325
0.13,0.96,4.602
0.85,0.57,1.3864
0.36,0.69,3.5409
0.67,0.4,0.77614
0.84,0.96,2.9917
0.67,0.81,2.3849
0.99,0.8,3.1028
0.88,0.71,2.1237
0.47,0.38,1.6985
0.91,0.96,3.4038
0.74,0.14,-0.52009
0.63,0.73,2.1061
0.03,0.27,1.2248
0.14,0.42,2.436
0.58,0.59,1.9109
0.42,0.97,4.3708
0.94,0.72,2.5167
0.73,0.2,-0.22595
0.52,0.85,3.4058
0.56,0.88,3.1626
0.29,0.72,3.936
0.71,0.76,2.1193
0.13,0.8,3.9784
0.58,0.05,-0.21746
0.3,0.6,3.2335
0.68,0.94,2.9002
0.04,0.44,1.944
0.94,0.36,1.0147
0.59,0.08,-0.31558
0.38,0.79,3.9314
0.57,0.77,2.7308
0.06,0.94,4.0455
0.89,0.64,1.982
0.53,0.91,3.4289
0.67,0.71,1.9356
0.44,0.21,1.3018
0.24,0.34,2.3196
0.79,0.03,-0.89578
0.58,0.94,3.2178
0.82,0.44,0.753
0.45,0.48,2.2619
0.91,0.9,2.9881
0.65,0.74,2.1946
0.65,0.12,-0.32154
0.3,0.35,2.3602
0.94,0.46,1.4422
0.32,0.29,2.0373
0.42,0.07,0.77577
0.04,0.52,2.3354
0.84,0.89,2.6335
0,0.69,2.7296
0.56,0.74,2.5196
0.71,0.72,1.8306
0.11,0.07,0.87389
0.1,0.04,0.67776
0.45,0.75,3.3009
0.79,0.89,2.515
0.8,0.76,2.0687
0.52,0.52,1.8069
0.99,0.27,0.95933
0.48,0.96,4.025
0.21,0.37,2.5351
0.07,0.62,2.9047
0.3,0.09,1.3858
0.3,0.47,2.8097
0.42,0.98,4.4315
0.71,0.47,0.9998
0.76,0.14,-0.42492
0.64,0.53,1.3186
0.13,0.37,2.2054
0.05,0.31,1.4728
0.28,0.12,1.424
0.2,0.69,3.7361
